user_id,pid,author_id,category_id,category_level,parent_id,root_id,exposed_time,author_fans_count,watch_time,duration,cvm_like,click,comment,follow,collect,forward,hate,tag_name,title,p_hour,p_date,gender,age,mod_price,fre_city,fre_community_type,fre_city_level
7313,84199269992,193159093,36,1,36,36,1663333100,46761,136,91.9,False,True,False,False,False,False,False,正能量,现如今为啥,21,20220916,M,42,2699,邯郸,unknown,三线城市
7313,84199269992,193159093,36,1,36,36,1663333100,46761,136,91.9,False,True,False,False,False,False,False,电视机,现如今为啥,21,20220916,M,42,2699,邯郸,unknown,三线城市
7313,84199269992,193159093,36,1,36,36,1663333100,46761,136,91.9,False,True,False,False,False,False,False,内容过于真实,现如今为啥,21,20220916,M,42,2699,邯郸,unknown,三线城市
7313,84199269992,193159093,373,2,36,36,1663333100,46761,136,91.9,False,True,False,False,False,False,False,正能量,现如今为啥,21,20220916,M,42,2699,邯郸,unknown,三线城市
7313,84199269992,193159093,373,2,36,36,1663333100,46761,136,91.9,False,True,False,False,False,False,False,电视机,现如今为啥,21,20220916,M,42,2699,邯郸,unknown,三线城市
7313,84199269992,193159093,373,2,36,36,1663333100,46761,136,91.9,False,True,False,False,False,False,False,内容过于真实,现如今为啥,21,20220916,M,42,2699,邯郸,unknown,三线城市
7313,84199269992,193159093,2315,3,373,36,1663333100,46761,136,91.9,False,True,False,False,False,False,False,正能量,现如今为啥,21,20220916,M,42,2699,邯郸,unknown,三线城市
7313,84199269992,193159093,2315,3,373,36,1663333100,46761,136,91.9,False,True,False,False,False,False,False,电视机,现如今为啥,21,20220916,M,42,2699,邯郸,unknown,三线城市
7313,84199269992,193159093,2315,3,373,36,1663333100,46761,136,91.9,False,True,False,False,False,False,False,内容过于真实,现如今为啥,21,20220916,M,42,2699,邯郸,unknown,三线城市
7313,80300400166,2595075870,11,1,11,11,1663338849,21610,405,102.8,False,True,False,False,False,False,False,越努力越幸运加油,择在韩国生活的原因之一吧,22,20220916,M,42,2699,邯郸,unknown,三线城市
7313,80300400166,2595075870,11,1,11,11,1663338849,21610,405,102.8,False,True,False,False,False,False,False,记录韩国打工生活,择在韩国生活的原因之一吧,22,20220916,M,42,2699,邯郸,unknown,三线城市
7313,80300400166,2595075870,11,1,11,11,1663338849,21610,405,102.8,False,True,False,False,False,False,False,中国人在韩国奋斗,择在韩国生活的原因之一吧,22,20220916,M,42,2699,邯郸,unknown,三线城市
